Geo Code,Geo Name,Line Number
"01","Canada",2
"01A0A","A0A",129
"01A0B","A0B",256
"01A0C","A0C",383
"01A0E","A0E",510
"01A0G","A0G",637
"01A0H","A0H",764
"01A0J","A0J",891
"01A0K","A0K",1018
"01A0L","A0L",1145
"01A0M","A0M",1272
"01A0N","A0N",1399
"01A0P","A0P",1526
"01A0R","A0R",1653
"01A1A","A1A",1780
"01A1B","A1B",1907
"01A1C","A1C",2034
"01A1E","A1E",2161
"01A1G","A1G",2288
"01A1H","A1H",2415
"01A1K","A1K",2542
"01A1L","A1L",2669
"01A1M","A1M",2796
"01A1N","A1N",2923
"01A1S","A1S",3050
"01A1V","A1V",3177
"01A1W","A1W",3304
"01A1X","A1X",3431
"01A1Y","A1Y",3558
"01A2A","A2A",3685
"01A2B","A2B",3812
"01A2H","A2H",3939
"01A2N","A2N",4066
"01A2V","A2V",4193
"01A5A","A5A",4320
"01A8A","A8A",4447
"01B0C","B0C",4574
"01B0E","B0E",4701
"01B0H","B0H",4828
"01B0J","B0J",4955
"01B0K","B0K",5082
"01B0L","B0L",5209
"01B0M","B0M",5336
"01B0N","B0N",5463
"01B0P","B0P",5590
"01B0R","B0R",5717
"01B0S","B0S",5844
"01B0T","B0T",5971
"01B0V","B0V",6098
"01B0W","B0W",6225
"01B1A","B1A",6352
"01B1B","B1B",6479
"01B1C","B1C",6606
"01B1E","B1E",6733
"01B1G","B1G",6860
"01B1H","B1H",6987
"01B1J","B1J",7114
"01B1K","B1K",7241
"01B1L","B1L",7368
"01B1M","B1M",7495
"01B1N","B1N",7622
"01B1P","B1P",7749
"01B1R","B1R",7876
"01B1S","B1S",8003
"01B1T","B1T",8130
"01B1V","B1V",8257
"01B1W","B1W",8384
"01B1X","B1X",8511
"01B1Y","B1Y",8638
"01B2A","B2A",8765
"01B2C","B2C",8892
"01B2E","B2E",9019
"01B2G","B2G",9146
"01B2H","B2H",9273
"01B2J","B2J",9400
"01B2N","B2N",9527
"01B2R","B2R",9654
"01B2S","B2S",9781
"01B2T","B2T",9908
"01B2V","B2V",10035
"01B2W","B2W",10162
"01B2X","B2X",10289
"01B2Y","B2Y",10416
"01B2Z","B2Z",10543
"01B3A","B3A",10670
"01B3B","B3B",10797
"01B3E","B3E",10924
"01B3G","B3G",11051
"01B3H","B3H",11178
"01B3J","B3J",11305
"01B3K","B3K",11432
"01B3L","B3L",11559
"01B3M","B3M",11686
"01B3N","B3N",11813
"01B3P","B3P",11940
"01B3R","B3R",12067
"01B3S","B3S",12194
"01B3T","B3T",12321
"01B3V","B3V",12448
"01B3Z","B3Z",12575
"01B4A","B4A",12702
"01B4B","B4B",12829
"01B4C","B4C",12956
"01B4E","B4E",13083
"01B4G","B4G",13210
"01B4H","B4H",13337
"01B4N","B4N",13464
"01B4P","B4P",13591
"01B4R","B4R",13718
"01B4V","B4V",13845
"01B5A","B5A",13972
"01B6L","B6L",14099
"01B9A","B9A",14226
"01C0A","C0A",14353
"01C0B","C0B",14480
"01C1A","C1A",14607
"01C1B","C1B",14734
"01C1C","C1C",14861
"01C1E","C1E",14988
"01C1N","C1N",15115
"01E1A","E1A",15242
"01E1B","E1B",15369
"01E1C","E1C",15496
"01E1E","E1E",15623
"01E1G","E1G",15750
"01E1H","E1H",15877
"01E1J","E1J",16004
"01E1N","E1N",16131
"01E1V","E1V",16258
"01E1W","E1W",16385
"01E1X","E1X",16512
"01E2A","E2A",16639
"01E2E","E2E",16766
"01E2G","E2G",16893
"01E2H","E2H",17020
"01E2J","E2J",17147
"01E2K","E2K",17274
"01E2L","E2L",17401
"01E2M","E2M",17528
"01E2N","E2N",17655
"01E2P","E2P",17782
"01E2S","E2S",17909
"01E2V","E2V",18036
"01E3A","E3A",18163
"01E3B","E3B",18290
"01E3C","E3C",18417
"01E3E","E3E",18544
"01E3G","E3G",18671
"01E3L","E3L",18798
"01E3N","E3N",18925
"01E3V","E3V",19052
"01E3Y","E3Y",19179
"01E3Z","E3Z",19306
"01E4A","E4A",19433
"01E4B","E4B",19560
"01E4C","E4C",19687
"01E4E","E4E",19814
"01E4G","E4G",19941
"01E4H","E4H",20068
"01E4J","E4J",20195
"01E4K","E4K",20322
"01E4L","E4L",20449
"01E4M","E4M",20576
"01E4N","E4N",20703
"01E4P","E4P",20830
"01E4R","E4R",20957
"01E4S","E4S",21084
"01E4T","E4T",21211
"01E4V","E4V",21338
"01E4W","E4W",21465
"01E4X","E4X",21592
"01E4Y","E4Y",21719
"01E4Z","E4Z",21846
"01E5A","E5A",21973
"01E5B","E5B",22100
"01E5C","E5C",22227
"01E5E","E5E",22354
"01E5G","E5G",22481
"01E5H","E5H",22608
"01E5J","E5J",22735
"01E5K","E5K",22862
"01E5L","E5L",22989
"01E5M","E5M",23116
"01E5N","E5N",23243
"01E5P","E5P",23370
"01E5R","E5R",23497
"01E5S","E5S",23624
"01E5T","E5T",23751
"01E5V","E5V",23878
"01E6A","E6A",24005
"01E6B","E6B",24132
"01E6C","E6C",24259
"01E6E","E6E",24386
"01E6G","E6G",24513
"01E6H","E6H",24640
"01E6J","E6J",24767
"01E6K","E6K",24894
"01E6L","E6L",25021
"01E7A","E7A",25148
"01E7B","E7B",25275
"01E7C","E7C",25402
"01E7E","E7E",25529
"01E7G","E7G",25656
"01E7H","E7H",25783
"01E7J","E7J",25910
"01E7K","E7K",26037
"01E7L","E7L",26164
"01E7M","E7M",26291
"01E7N","E7N",26418
"01E7P","E7P",26545
"01E8A","E8A",26672
"01E8B","E8B",26799
"01E8C","E8C",26926
"01E8E","E8E",27053
"01E8G","E8G",27180
"01E8J","E8J",27307
"01E8K","E8K",27434
"01E8L","E8L",27561
"01E8M","E8M",27688
"01E8N","E8N",27815
"01E8P","E8P",27942
"01E8R","E8R",28069
"01E8S","E8S",28196
"01E8T","E8T",28323
"01E9A","E9A",28450
"01E9B","E9B",28577
"01E9C","E9C",28704
"01E9E","E9E",28831
"01E9G","E9G",28958
"01E9H","E9H",29085
"01G0A","G0A",29212
"01G0C","G0C",29339
"01G0E","G0E",29466
"01G0G","G0G",29593
"01G0H","G0H",29720
"01G0J","G0J",29847
"01G0K","G0K",29974
"01G0L","G0L",30101
"01G0M","G0M",30228
"01G0N","G0N",30355
"01G0P","G0P",30482
"01G0R","G0R",30609
"01G0S","G0S",30736
"01G0T","G0T",30863
"01G0V","G0V",30990
"01G0W","G0W",31117
"01G0X","G0X",31244
"01G0Y","G0Y",31371
"01G0Z","G0Z",31498
"01G1B","G1B",31625
"01G1C","G1C",31752
"01G1E","G1E",31879
"01G1G","G1G",32006
"01G1H","G1H",32133
"01G1J","G1J",32260
"01G1K","G1K",32387
"01G1L","G1L",32514
"01G1M","G1M",32641
"01G1N","G1N",32768
"01G1P","G1P",32895
"01G1R","G1R",33022
"01G1S","G1S",33149
"01G1T","G1T",33276
"01G1V","G1V",33403
"01G1W","G1W",33530
"01G1X","G1X",33657
"01G1Y","G1Y",33784
"01G2A","G2A",33911
"01G2B","G2B",34038
"01G2C","G2C",34165
"01G2E","G2E",34292
"01G2G","G2G",34419
"01G2J","G2J",34546
"01G2K","G2K",34673
"01G2L","G2L",34800
"01G2M","G2M",34927
"01G2N","G2N",35054
"01G3A","G3A",35181
"01G3B","G3B",35308
"01G3C","G3C",35435
"01G3E","G3E",35562
"01G3G","G3G",35689
"01G3H","G3H",35816
"01G3J","G3J",35943
"01G3K","G3K",36070
"01G3L","G3L",36197
"01G3M","G3M",36324
"01G3N","G3N",36451
"01G3Z","G3Z",36578
"01G4A","G4A",36705
"01G4R","G4R",36832
"01G4S","G4S",36959
"01G4T","G4T",37086
"01G4V","G4V",37213
"01G4W","G4W",37340
"01G4X","G4X",37467
"01G4Z","G4Z",37594
"01G5A","G5A",37721
"01G5B","G5B",37848
"01G5C","G5C",37975
"01G5H","G5H",38102
"01G5J","G5J",38229
"01G5L","G5L",38356
"01G5M","G5M",38483
"01G5N","G5N",38610
"01G5R","G5R",38737
"01G5T","G5T",38864
"01G5V","G5V",38991
"01G5X","G5X",39118
"01G5Y","G5Y",39245
"01G5Z","G5Z",39372
"01G6A","G6A",39499
"01G6B","G6B",39626
"01G6C","G6C",39753
"01G6E","G6E",39880
"01G6G","G6G",40007
"01G6H","G6H",40134
"01G6J","G6J",40261
"01G6K","G6K",40388
"01G6L","G6L",40515
"01G6P","G6P",40642
"01G6R","G6R",40769
"01G6S","G6S",40896
"01G6T","G6T",41023
"01G6V","G6V",41150
"01G6W","G6W",41277
"01G6X","G6X",41404
"01G6Y","G6Y",41531
"01G6Z","G6Z",41658
