"Date","naccidents","nfatal"
"01/01/2010",282,4
"01/02/2010",657,5
"01/03/2010",608,2
"01/04/2010",510,4
"01/05/2010",378,4
"01/06/2010",476,3
"01/07/2010",479,2
"01/08/2010",338,8
"01/09/2010",486,4
"01/10/2010",699,4
"01/11/2010",475,2
"01/12/2010",262,2
"02/01/2010",293,9
"02/02/2010",449,7
"02/03/2010",568,4
"02/04/2010",363,1
"02/05/2010",264,2
"02/06/2010",477,9
"02/07/2010",534,7
"02/08/2010",335,5
"02/09/2010",469,2
"02/10/2010",495,8
"02/11/2010",495,8
"02/12/2010",254,4
"03/01/2010",273,4
"03/02/2010",472,4
"03/03/2010",376,5
"03/04/2010",340,6
"03/05/2010",297,7
"03/06/2010",500,9
"03/07/2010",421,5
"03/08/2010",408,3
"03/09/2010",513,8
"03/10/2010",373,6
"03/11/2010",547,5
"03/12/2010",306,2
"04/01/2010",401,1
"04/02/2010",388,3
"04/03/2010",463,3
"04/04/2010",297,5
"04/05/2010",464,1
"04/06/2010",465,4
"04/07/2010",364,7
"04/08/2010",459,4
"04/09/2010",405,4
"04/10/2010",526,5
"04/11/2010",522,6
"04/12/2010",275,4
"05/01/2010",379,1
"05/02/2010",504,7
"05/03/2010",497,6
"05/04/2010",252,9
"05/05/2010",384,1
"05/06/2010",439,9
"05/07/2010",463,6
"05/08/2010",395,6
"05/09/2010",339,9
"05/10/2010",433,4
"05/11/2010",644,7
"05/12/2010",339,5
"06/01/2010",266,9
"06/02/2010",356,2
"06/03/2010",409,5
"06/04/2010",343,4
"06/05/2010",397,3
"06/06/2010",317,14
"06/07/2010",428,5
"06/08/2010",443,5
"06/09/2010",454,6
"06/10/2010",506,5
"06/11/2010",427,6
"06/12/2010",437,3
"07/01/2010",284,1
"07/02/2010",229,2
"07/03/2010",364,3
"07/04/2010",378,2
"07/05/2010",472,5
"07/06/2010",433,1
"07/07/2010",414,4
"07/08/2010",415,4
"07/09/2010",505,6
"07/10/2010",487,9
"07/11/2010",344,4
"07/12/2010",378,3
"08/01/2010",322,2
"08/02/2010",379,2
"08/03/2010",507,2
"08/04/2010",424,8
"08/05/2010",402,8
"08/06/2010",494,3
"08/07/2010",469,2
"08/08/2010",316,7
"08/09/2010",446,4
"08/10/2010",505,6
"08/11/2010",563,11
"08/12/2010",418,0
"09/01/2010",250,4
"09/02/2010",457,5
"09/03/2010",372,8
"09/04/2010",463,5
"09/05/2010",285,6
"09/06/2010",456,4
"09/07/2010",521,4
"09/08/2010",421,5
"09/09/2010",493,8
"09/10/2010",375,6
"09/11/2010",532,5
"09/12/2010",461,3
"10/01/2010",130,1
"10/02/2010",574,4
"10/03/2010",439,6
"10/04/2010",429,4
"10/05/2010",434,6
"10/06/2010",373,6
"10/07/2010",438,7
"10/08/2010",493,9
"10/09/2010",514,6
"10/10/2010",383,11
"10/11/2010",556,4
"10/12/2010",429,3
"11/01/2010",278,1
"11/02/2010",443,4
"11/03/2010",414,0
"11/04/2010",333,6
"11/05/2010",431,2
"11/06/2010",477,6
"11/07/2010",358,4
"11/08/2010",389,6
"11/09/2010",465,8
"11/10/2010",499,9
"11/11/2010",506,2
"11/12/2010",407,7
"12/01/2010",277,2
"12/02/2010",437,5
"12/03/2010",504,4
"12/04/2010",379,4
"12/05/2010",451,5
"12/06/2010",399,8
"12/07/2010",478,3
"12/08/2010",435,5
"12/09/2010",373,6
"12/10/2010",510,4
"12/11/2010",585,3
"12/12/2010",336,7
"13/01/2010",398,0
"13/02/2010",357,2
"13/03/2010",398,3
"13/04/2010",451,3
"13/05/2010",430,1
"13/06/2010",329,4
"13/07/2010",488,9
"13/08/2010",523,7
"13/09/2010",422,2
"13/10/2010",425,4
"13/11/2010",413,9
"13/12/2010",487,3
"14/01/2010",305,1
"14/02/2010",298,4
"14/03/2010",318,7
"14/04/2010",366,3
"14/05/2010",509,7
"14/06/2010",417,4
"14/07/2010",493,5
"14/08/2010",402,6
"14/09/2010",499,3
"14/10/2010",423,1
"14/11/2010",341,5
"14/12/2010",463,3
"15/01/2010",364,3
"15/02/2010",401,4
"15/03/2010",372,3
"15/04/2010",401,4
"15/05/2010",442,9
"15/06/2010",493,5
"15/07/2010",469,4
"15/08/2010",353,11
"15/09/2010",459,2
"15/10/2010",501,5
"15/11/2010",622,6
"15/12/2010",465,7
"16/01/2010",296,7
"16/02/2010",422,2
"16/03/2010",406,4
"16/04/2010",449,6
"16/05/2010",324,4
"16/06/2010",506,6
"16/07/2010",485,5
"16/08/2010",433,6
"16/09/2010",463,2
"16/10/2010",441,9
"16/11/2010",569,4
"16/12/2010",472,4
"17/01/2010",315,7
"17/02/2010",462,4
"17/03/2010",388,2
"17/04/2010",435,3
"17/05/2010",424,7
"17/06/2010",477,4
"17/07/2010",367,5
"17/08/2010",430,8
"17/09/2010",522,8
"17/10/2010",355,7
"17/11/2010",479,3
"17/12/2010",562,6
"18/01/2010",415,6
"18/02/2010",396,3
"18/03/2010",428,3
"18/04/2010",340,3
"18/05/2010",467,8
"18/06/2010",499,8
"18/07/2010",303,6
"18/08/2010",414,7
"18/09/2010",445,6
"18/10/2010",437,3
"18/11/2010",570,2
"18/12/2010",296,2
"19/01/2010",377,6
"19/02/2010",452,6
"19/03/2010",480,3
"19/04/2010",369,3
"19/05/2010",388,6
"19/06/2010",361,3
"19/07/2010",452,1
"19/08/2010",475,9
