"Year","Date","ParkTransectID","PointID","Temperature","Sky","Wind"
2009,2009-06-16,1,"1",13.8,"3",0.3
2010,2010-06-11,1,"1",4.6,"Scattered",0
2011,2011-06-13,1,"1",6.4,"Overcast",0
2013,2013-06-10,1,"1",4.8,"0",0
2014,2014-06-20,1,"1",12.8,"1",0
2015,2015-06-14,1,"1",10.3,"overcast",0
2009,2009-07-15,1,"10",11.9,"3",0
2010,2010-06-11,1,"10",9,"Broken",2.5
2011,2011-06-13,1,"10",10.8,"Broken",0
2014,2014-06-21,1,"10",11.2,"3",0
2015,2015-06-14,1,"10",8.6,"scattered",0
2009,2009-06-16,1,"2",12.3,"3",0
2010,2010-06-11,1,"2",2.4,"Clear",0
2011,2011-06-13,1,"2",6.2,"Overcast",0
2013,2013-06-10,1,"2",1.6,"0",0
2014,2014-06-20,1,"2",14.1,"0",0
2015,2015-06-14,1,"2",8.2,"broken",0
2009,2009-06-16,1,"3",14.3,"3",0
2010,2010-06-11,1,"3",1,"Clear",0
2011,2011-06-13,1,"3",6.2,"Overcast",0
2013,2013-06-10,1,"3",0.1,"0",0
2014,2014-06-20,1,"3",17.2,"2",0
2015,2015-06-14,1,"3",9.1,"broken",0
2009,2009-06-16,1,"4",11.4,"3",0
2010,2010-06-11,1,"4",1.5,"Scattered",0
2011,2011-06-13,1,"4",6.7,"Overcast",0
2013,2013-06-10,1,"4",1.4,"0",0
2014,2014-06-20,1,"4",19.9,"1",0
2015,2015-06-14,1,"4",8.9,"broken",0
2009,2009-06-16,1,"5",12.3,"3",0
2010,2010-06-11,1,"5",1.5,"Scattered",0
2011,2011-06-13,1,"5",7,"Overcast",0
2013,2013-06-10,1,"5",1.8,"0",0
2014,2014-06-21,1,"5",12,"3",0
2015,2015-06-14,1,"5",7.7,"scattered",0
2009,2009-06-16,1,"6",15,"3",0
2010,2010-06-11,1,"6",2.9,"Scattered",0
2011,2011-06-13,1,"6",8.8,"Overcast",0
2013,2013-06-10,1,"6",3.3,"0",0
2014,2014-06-21,1,"6",11.5,"3",0
2015,2015-06-14,1,"6",7.3,"broken",0
2009,2009-07-15,1,"7",12.7,"3",0
2010,2010-06-11,1,"7",4.6,"Overcast",0
2011,2011-06-13,1,"7",8.5,"Overcast",0
2013,2013-06-10,1,"7",4.5,"0",0
2014,2014-06-21,1,"7",10,"3",0
2015,2015-06-14,1,"7",7.7,"broken",0
2009,2009-07-15,1,"8",13.4,"3",0
2010,2010-06-11,1,"8",6.1,"Overcast",1.6
2011,2011-06-13,1,"8",9.6,"Broken",0
2014,2014-06-21,1,"8",7.2,"3",0
2015,2015-06-14,1,"8",8.4,"scattered",0
2009,2009-07-15,1,"9",12.4,"3",0
