"AOU_Code","Common_Name","Scientific_Name","ELCode","FormerName","AOU_Number","LCTA_Code","NM_Satus","Nest_Location","Nest_Type","Food_Type","Foraging_Substrate","Foraging_Technique","General_Habitat","Guild","Common_Name_2","Scientific_Name_2","Parks Canada Biotics Element ID","SARA_LEGAL_STATUS_E","COSEWIC_STATUS_E","MA_ORIGIN","REGULARITY","DISTRIBUTION_CONFIDENCE","PRESENCE_ABSENCE","POPULATION","MA_DISTRIBUTION_COM"
"ABDU","AMERICAN BLACK DUCK","Anas rubripes","ABNJB10040",NA,"1330","ANRU","R","Ground","Scrape","Aquatic Inverts, Seeds","Water","Dabbler","Swamp/Marsh, Riparian",NA,"AMERICAN BLACK DUCK","Anas rubripes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFL","ALDER FLYCATCHER","Empidonax alnorum","ABPAE33030",NA,"4661","EMAL","A","Shrub, Woody Lower Canopy","Cup","Insects, Fruit","Air","Hawker","Swamp/Marsh, Shrubland","Aerial insectivore","ALDER FLYCATCHER","Empidonax alnorum",164772,NA,NA,NA,NA,NA,NA,NA,NA
"AMAV","AMERICAN AVOCET","Recurvirostra americana","ABNND02010",NA,"2250","REAM","R","Ground","Scrape","Aquatic Inverts, Insects","Water","Prober","Swamp/Marsh, Freshwater",NA,"AMERICAN AVOCET","Recurvirostra americana",167265,NA,NA,NA,NA,NA,NA,NA,NA
"AMBI","AMERICAN BITTERN","Botaurus lentiginosus","ABNGA01020",NA,"1900","BOLE","R","Ground","Platform","Fish, Aquatic Inverts","Water, Ground","Ambusher, Ground Gleaner","Swamp/Marsh",NA,"AMERICAN BITTERN","Botaurus lentiginosus",162753,NA,NA,NA,"Unknown/Undetermined","Confident","Unknown/Undetermined","Unknown","One reported from Banff-LLYK observation database."
"AMCO","AMERICAN COOT","Fulica americana","ABNME14020",NA,"2210","FUAM","R","Floating","Platform","Greens, Aquatic Inverts","Water, Ground","Surface Dips, Ground Gleaner","Freshwater, Swamp/Marsh",NA,"AMERICAN COOT","Fulica americana",166300,NA,"Not at Risk (NAR)",NA,"Regularly occurring","Confident","Present","Unknown",NA
"AMCR","AMERICAN CROW","Corvus brachyrhynchos","ABPAV10010",NA,"4880","COBR","R","Woody Upper Canopy, Shrub","Cup","Insects, Seeds","Ground","Scavenger, Ground Gleaner","Forest, Riparian","Omnivore","AMERICAN CROW","Corvus brachyrhynchos",168423,NA,NA,NA,NA,NA,NA,NA,NA
"AMDI","AMERICAN DIPPER","Cinclus mexicanus","ABPBH01010",NA,"7010","CIME","R","Cliff, MMS","Oven","Aquatic Inverts, Fish","Water","Prober","Freshwater, Riparian",NA,"AMERICAN DIPPER","Cinclus mexicanus",162632,NA,NA,NA,"Regularly occurring","Confident","Present","Unknown",NA
"AMGO","AMERICAN GOLDFINCH","Carduelis tristis","ABPBY06110",NA,"5290","CATR","B","Shrub, Woody Lower Canopy","Cup","Seeds, Insects","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Grassland, Riparian",NA,"AMERICAN GOLDFINCH","Carduelis tristis",168136,NA,NA,NA,"Unknown/Undetermined","Confident","Unknown/Undetermined","Transient","Grid info based on: one sighting; ""rare bird in BNP"""
"AMGP","AMERICAN GOLDEN-PLOVER","Pluvialis dominica","ABNNB02030",NA,"2720","PLDO","R","Ground","Scrape","Insects","Ground, Water","Ground Gleaner, Prober","Coastal, Tundra",NA,"AMERICAN GOLDEN-PLOVER","Pluvialis dominica",162233,NA,NA,NA,NA,NA,NA,NA,NA
"AMKE","AMERICAN KESTREL","Falco sparverius","ABNKD06020",NA,"3600","FASP","B","Snag, Cliff","Cavity","Insects, Small Verts","Ground, Air","Hover & Pounce, Hawker","Grassland, Cropland",NA,"AMERICAN KESTREL","Falco sparverius",168748,NA,NA,NA,NA,NA,NA,NA,NA
"AMPI","AMERICAN PIPIT","Anthus spinoletta",NA,NA,"6970","ANSP","B","Ground","Cup","Insects, Aquatic Inverts","Ground, Air","Ground Gleaner, Hawker","Shoreline, Tundra","Insectivore","AMERICAN PIPIT","Anthus spinoletta",164501,NA,NA,NA,NA,NA,NA,NA,NA
"AMRE","AMERICAN REDSTART","Setophaga ruticilla","ABPBX06010",NA,"6870","SERU","A","Woody Lower Canopy, Shrub","Cup","Insects, Seeds","Air, Foliage","Hover Gleaner, Foliage Gleaner","Forest, Forest Edge",NA,"AMERICAN REDSTART","Setophaga ruticilla",168277,NA,NA,NA,"Unknown/Undetermined","Confident","Present","Unknown",NA
"AMRO","AMERICAN ROBIN","Turdus migratorius","ABPBJ20170",NA,"7610","TUMI","B","Woody Lower Canopy","Cup","Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Urban",NA,"AMERICAN ROBIN","Turdus migratorius",162512,NA,NA,NA,NA,NA,NA,NA,NA
