"ParkID","ParkTransectID","Type"
"P5",1,"Forest"
"P5",2,"Alpine"
"P2",3,NA
"P1",4,NA
"P12",5,NA
"P2",6,NA
"P3",7,"Forest"
"P3",8,"Forest"
"P3",9,"Forest"
"P3",10,"Bison"
"P3",11,"Alpine"
"P12",12,NA
"P12",13,NA
"P7",14,"Alpine"
"P5",15,"Forest"
"P7",16,NA
"P3",17,NA
"P7",18,"Alpine"
"P3",19,"Bison"
"P1",20,NA
"P7",21,"Forest"
"P5",22,"Forest"
"P1",23,NA
"P12",24,NA
"P12",25,NA
"P1",26,NA
"P3",27,"Bison"
"P12",28,NA
"P12",29,NA
"P5",30,"Alpine"
"P12",31,NA
"P3",32,NA
"P2",33,NA
"P12",34,NA
"P7",35,"Forest"
"P2",36,NA
"P5",37,NA
"P2",38,NA
"P2",39,NA
"P7",40,"Alpine"
"P12",41,NA
"P5",43,NA
"P7",44,"Forest"
"P1",45,NA
"P3",46,NA
"P3",47,"Forest"
"P5",48,"Alpine"
"P3",49,NA
"P5",50,"Forest"
"P7",51,NA
"P7",52,NA
"P3",53,"Forest"
"P3",54,NA
"P5",55,NA
"P3",56,NA
"P2",57,NA
"P2",58,NA
"P3",59,"Bison"
"P3",60,"Forest"
"P7",61,"Forest"
"P3",63,"Forest"
"P3",64,NA
"P5",65,"Alpine"
"P2",66,NA
"P3",67,"Alpine"
"P1",68,NA
"P3",69,"Bison"
"P5",70,NA
"P7",72,"Alpine"
"P7",73,"Forest"
"P3",74,"Alpine"
"P1",75,NA
"P3",76,"Forest"
"P1",86,NA
"P7",87,"Alpine"
"P7",88,"Forest"
"P12",89,NA
"P12",90,NA
"P1",91,NA
"P7",92,NA
"P2",93,NA
"P3",94,"Forest"
"P3",95,NA
"P1",96,NA
"P5",97,"Forest"
"P5",98,"Forest"
"P3",99,"Bison"
"P3",100,"Bison"
"P2",101,NA
"P3",103,NA
"P12",104,NA
"P5",105,"Forest"
"P5",106,"Forest"
"P3",108,NA
"P12",111,NA
"P3",112,"Forest"
"P7",113,NA
"P3",114,"Alpine"
"P1",115,NA
"P12",117,NA
"P3",118,"Forest"
"P7",120,"Forest"
"P2",121,NA
"P1",122,NA
"P3",123,"Bison"
"P5",124,NA
"P12",125,NA
"P7",126,"Alpine"
"P3",127,"Bison"
"P12",128,NA
"P5",129,"Forest"
"P2",130,NA
"P3",131,"Forest"
"P12",132,NA
"P3",133,"Bison"
"P12",134,NA
"P5",135,"Forest"
"P5",136,NA
"P3",137,"Forest"
"P2",138,NA
"P3",139,"Alpine"
"P1",140,NA
"P2",141,NA
"P1",142,NA
"P7",143,"Forest"
"P5",144,NA
"P3",145,"Bison"
"P5",146,"Forest"
"P12",147,NA
"P2",148,NA
"P7",149,"Alpine"
"P3",150,"Forest"
