Mammal,Class,Top incisors,Bottom incisors,Top canines,Bottom canines,Top premolars,Bottom premolars,Top molars,Bottom molars
BADGER,c,3,3,1,1,3,3,1,2
COUGAR,c,3,3,1,1,3,2,1,1
ELEPHANT SEAL,c,2,1,1,1,4,4,1,1
FUR SEAL,c,3,2,1,1,4,4,1,1
GREY SEAL,c,3,2,1,1,3,3,2,2
HOUSE BAT,c,2,3,1,1,1,2,3,3
JAGUAR,c,3,3,1,1,3,2,1,1
MARTEN,c,3,3,1,1,4,4,1,2
PIGMY BAT,c,2,3,1,1,2,2,3,3
RED BAT,c,1,3,1,1,2,2,3,3
RIVER OTTER,c,3,3,1,1,4,3,1,2
SEA LION,c,3,2,1,1,4,4,1,1
SEA OTTER,c,3,2,1,1,3,3,1,2
SILVER HAIR BAT,c,2,3,1,1,2,3,3,3
WEASEL,c,3,3,1,1,3,3,1,2
WOLF,c,3,3,1,1,4,4,2,3
WOLVERINE,c,3,3,1,1,4,4,1,2
BEAVER,h,1,1,0,0,2,1,3,3
DEER,h,0,4,0,0,3,3,3,3
ELK,h,0,4,1,0,3,3,3,3
GRAY SQUIRREL,h,1,1,0,0,1,1,3,3
GROUNDHOG,h,1,1,0,0,2,1,3,3
HOUSE MOUSE,h,1,1,0,0,0,0,3,3
MOLE,h,3,2,1,0,3,3,3,3
MOOSE,h,0,4,0,0,3,3,3,3
PIKA,h,2,1,0,0,2,2,3,3
PORCUPINE,h,1,1,0,0,1,1,3,3
RABBIT,h,2,1,0,0,3,2,3,3
REINDEER,h,0,4,1,0,3,3,3,3
BROWN BAT,h,2,3,1,1,3,3,3,3
BEAR,c,3,3,1,1,4,4,2,3
RACCOON,c,3,3,1,1,4,4,3,2
