Correlational Approach,,,,
Nest,Species,Nest content,Butts wieght,Number of mites
1,HOSP,empty,6.13,4
2,HOSP,empty,3.73,30
3,HOSP,eggs,0.06,84
4,HOSP,eggs,8.3,2
5,HOSP,eggs,0,12
6,HOSP,chicks,1.23,7
7,HOSP,chicks,1.03,10
8,HOSP,empty,0,44
9,HOSP,chicks,2.4,16
10,HOSP,chicks,0.35,32
11,HOSP,eggs,0.26,27
12,HOSP,chicks,2.14,73
13,HOSP,eggs,0.07,75
14,HOSP,empty,11.75,3
15,HOSP,empty,0.56,86
16,HOSP,eggs,0.67,23
17,HOSP,eggs,0.36,27
18,HOSP,empty,0.92,17
19,HOSP,empty,0.38,25
20,HOSP,chicks,1.1,10
21,HOFI,eggs,0.12,17
22,HOFI,empty,1.34,36
23,HOFI,chicks,1.54,87
24,HOFI,eggs,1.26,16
25,HOFI,empty,0,32
26,HOFI,eggs,0,29
27,HOFI,empty,6.77,9
28,HOFI,eggs,0.79,85
29,HOFI,empty,9.12,10
30,HOFI,empty,2.68,24
31,HOFI,empty,0,13
32,HOFI,chicks,0.28,26
33,HOFI,eggs,0.1,77
34,HOFI,eggs,0,48
35,HOFI,empty,0.95,7
36,HOFI,chicks,0.24,14
37,HOFI,eggs,3.89,18
38,HOFI,chicks,0.21,75
39,HOFI,chicks,2.17,81
40,HOFI,empty,13.23,3
41,HOFI,empty,0.87,49
42,HOFI,chicks,1.34,11
43,HOSP,eggs,3.45,28
44,HOSP,empty,9.57,2
45,HOSP,empty,0.25,56
46,HOSP,eggs,8.24,4
47,HOSP,chicks,0.35,25
48,HOSP,empty,0,50
49,HOSP,empty,4.76,13
50,HOSP,empty,0.57,35
51,HOFI,eggs,14.86,3
52,HOFI,empty,2.23,12
53,HOFI,empty,11.24,6
54,HOFI,eggs,5.24,23
55,HOFI,empty,3.45,22
56,HOFI,eggs,4.46,1
57,HOFI,chicks,0.23,39
